1:          1 steps          1 total steps
2:          2 steps          3 total steps
3:          8 steps          11 total steps
4:          3 steps          14 total steps
5:          6 steps          20 total steps
6:          9 steps          29 total steps
7:          17 steps          46 total steps
8:          4 steps          50 total steps
9:          20 steps          70 total steps
10:         7 steps          77 total steps
11:         15 steps          92 total steps
12:         10 steps          102 total steps
13:         10 steps          112 total steps
14:         18 steps          130 total steps
15:         18 steps          148 total steps
16:         5 steps          153 total steps
17:         13 steps          166 total steps
18:         21 steps          187 total steps
19:         21 steps          208 total steps
20:         8 steps          216 total steps
21:         8 steps          224 total steps
22:         16 steps          240 total steps
23:         16 steps          256 total steps
24:         11 steps          267 total steps
25:         24 steps          291 total steps
26:         11 steps          302 total steps
27:         112 steps          414 total steps
28:         19 steps          433 total steps
29:         19 steps          452 total steps
30:         19 steps          471 total steps
31:         107 steps          578 total steps
32:         6 steps          584 total steps
33:         27 steps          611 total steps
34:         14 steps          625 total steps
35:         14 steps          639 total steps
36:         22 steps          661 total steps
37:         22 steps          683 total steps
38:         22 steps          705 total steps
39:         35 steps          740 total steps
40:         9 steps          749 total steps
41:         110 steps          859 total steps
42:         9 steps          868 total steps
43:         30 steps          898 total steps
44:         17 steps          915 total steps
45:         17 steps          932 total steps
46:         17 steps          949 total steps
47:         105 steps          1054 total steps
48:         12 steps          1066 total steps
49:         25 steps          1091 total steps
50:         25 steps          1116 total steps
51:         25 steps          1141 total steps
52:         12 steps          1153 total steps
53:         12 steps          1165 total steps
54:         113 steps          1278 total steps
55:         113 steps          1391 total steps
56:         20 steps          1411 total steps
57:         33 steps          1444 total steps
58:         20 steps          1464 total steps
59:         33 steps          1497 total steps
60:         20 steps          1517 total steps
61:         20 steps          1537 total steps
62:         108 steps          1645 total steps
63:         108 steps          1753 total steps
64:         7 steps          1760 total steps
65:         28 steps          1788 total steps
66:         28 steps          1816 total steps
67:         28 steps          1844 total steps
68:         15 steps          1859 total steps
69:         15 steps          1874 total steps
70:         15 steps          1889 total steps
71:         103 steps          1992 total steps
72:         23 steps          2015 total steps
73:         116 steps          2131 total steps
74:         23 steps          2154 total steps
75:         15 steps          2169 total steps
76:         23 steps          2192 total steps
77:         23 steps          2215 total steps
78:         36 steps          2251 total steps
79:         36 steps          2287 total steps
80:         10 steps          2297 total steps
81:         23 steps          2320 total steps
82:         111 steps          2431 total steps
83:         111 steps          2542 total steps
84:         10 steps          2552 total steps
85:         10 steps          2562 total steps
86:         31 steps          2593 total steps
87:         31 steps          2624 total steps
88:         18 steps          2642 total steps
89:         31 steps          2673 total steps
90:         18 steps          2691 total steps
91:         93 steps          2784 total steps
92:         18 steps          2802 total steps
93:         18 steps          2820 total steps
94:         106 steps          2926 total steps
95:         106 steps          3032 total steps
96:         13 steps          3045 total steps
97:         119 steps          3164 total steps
98:         26 steps          3190 total steps
99:         26 steps          3216 total steps
100:        26 steps          3242 total steps
101:        26 steps          3268 total steps
102:        26 steps          3294 total steps
103:        88 steps          3382 total steps
104:        13 steps          3395 total steps
105:        39 steps          3434 total steps
106:        13 steps          3447 total steps
107:        101 steps          3548 total steps
108:        114 steps          3662 total steps
109:        114 steps          3776 total steps
110:        114 steps          3890 total steps
111:        70 steps          3960 total steps
112:        21 steps          3981 total steps
113:        13 steps          3994 total steps
114:        34 steps          4028 total steps
115:        34 steps          4062 total steps
116:        21 steps          4083 total steps
117:        21 steps          4104 total steps
118:        34 steps          4138 total steps
119:        34 steps          4172 total steps
120:        21 steps          4193 total steps
121:        96 steps          4289 total steps
122:        21 steps          4310 total steps
123:        47 steps          4357 total steps
124:        109 steps          4466 total steps
125:        109 steps          4575 total steps
126:        109 steps          4684 total steps
127:        47 steps          4731 total steps
128:        8 steps          4739 total steps
129:        122 steps          4861 total steps
130:        29 steps          4890 total steps
131:        29 steps          4919 total steps
132:        29 steps          4948 total steps
133:        29 steps          4977 total steps
134:        29 steps          5006 total steps
135:        42 steps          5048 total steps
136:        16 steps          5064 total steps
137:        91 steps          5155 total steps
138:        16 steps          5171 total steps
139:        42 steps          5213 total steps
140:        16 steps          5229 total steps
141:        16 steps          5245 total steps
142:        104 steps          5349 total steps
143:        104 steps          5453 total steps
144:        24 steps          5477 total steps
145:        117 steps          5594 total steps
146:        117 steps          5711 total steps
147:        117 steps          5828 total steps
148:        24 steps          5852 total steps
149:        24 steps          5876 total steps
150:        16 steps          5892 total steps
151:        16 steps          5908 total steps
152:        24 steps          5932 total steps
153:        37 steps          5969 total steps
154:        24 steps          5993 total steps
155:        86 steps          6079 total steps
156:        37 steps          6116 total steps
157:        37 steps          6153 total steps
158:        37 steps          6190 total steps
159:        55 steps          6245 total steps
160:        11 steps          6256 total steps
161:        99 steps          6355 total steps
162:        24 steps          6379 total steps
163:        24 steps          6403 total steps
164:        112 steps          6515 total steps
165:        112 steps          6627 total steps
166:        112 steps          6739 total steps
167:        68 steps          6807 total steps
168:        11 steps          6818 total steps
169:        50 steps          6868 total steps
170:        11 steps          6879 total steps
171:        125 steps          7004 total steps
172:        32 steps          7036 total steps
173:        32 steps          7068 total steps
174:        32 steps          7100 total steps
175:        81 steps          7181 total steps
176:        19 steps          7200 total steps
177:        32 steps          7232 total steps
178:        32 steps          7264 total steps
179:        32 steps          7296 total steps
180:        19 steps          7315 total steps
181:        19 steps          7334 total steps
182:        94 steps          7428 total steps
183:        94 steps          7522 total steps
184:        19 steps          7541 total steps
185:        45 steps          7586 total steps
186:        19 steps          7605 total steps
187:        45 steps          7650 total steps
188:        107 steps          7757 total steps
189:        107 steps          7864 total steps
190:        107 steps          7971 total steps
191:        45 steps          8016 total steps
192:        14 steps          8030 total steps
193:        120 steps          8150 total steps
194:        120 steps          8270 total steps
195:        120 steps          8390 total steps
196:        27 steps          8417 total steps
197:        27 steps          8444 total steps
198:        27 steps          8471 total steps
199:        120 steps          8591 total steps
200:        27 steps          8618 total steps
201:        19 steps          8637 total steps
202:        27 steps          8664 total steps
203:        40 steps          8704 total steps
204:        27 steps          8731 total steps
205:        27 steps          8758 total steps
206:        89 steps          8847 total steps
207:        89 steps          8936 total steps
208:        14 steps          8950 total steps
209:        40 steps          8990 total steps
210:        40 steps          9030 total steps
211:        40 steps          9070 total steps
212:        14 steps          9084 total steps
213:        14 steps          9098 total steps
214:        102 steps          9200 total steps
215:        102 steps          9302 total steps
216:        115 steps          9417 total steps
217:        27 steps          9444 total steps
218:        115 steps          9559 total steps
