COUNT		FRACTION
00001		1/3
00004		2/3
00007		1/6
00008		5/6
00009		1/7
00010		2/7
00011		3/7
00012		4/7
00013		5/7
00014		6/7
00015		1/9
00018		2/9
00021		4/9
00024		5/9
00027		7/9
00030		8/9
00033		1/12
00034		5/12
00035		7/12
00036		11/12
00037		1/18
00038		5/18
00039		7/18
00040		11/18
00041		13/18
00042		17/18
00043		1/24
00044		5/24
00045		7/24
00046		11/24
00047		13/24
00048		17/24
00049		19/24
00050		23/24
00051		1/27
00054		2/27
00057		4/27
00060		5/27
00063		7/27
00066		8/27
00069		10/27
00072		11/27
00075		13/27
00078		14/27
00081		16/27
00084		17/27
00087		19/27
00090		20/27
00093		22/27
00096		23/27
00099		25/27
00102		26/27
00105		1/36
00106		5/36
00107		7/36
00108		11/36
00109		13/36
00110		17/36
00111		19/36
00112		23/36
00113		25/36
00114		29/36
00115		31/36
00116		35/36
00117		1/48
00118		5/48
00119		7/48
00120		11/48
00121		13/48
00122		17/48
00123		19/48
00124		23/48
00125		25/48
00126		29/48
00127		31/48
00128		35/48
00129		37/48
00130		41/48
00131		43/48
00132		47/48
00133		1/49
00134		2/49
00135		3/49
00136		4/49
00137		5/49
00138		6/49
00139		8/49
00140		9/49
00141		10/49
00142		11/49
00143		12/49
00144		13/49
00145		15/49
00146		16/49
00147		17/49
00148		18/49
00149		19/49
00150		20/49
00151		22/49
00152		23/49
00153		24/49
00154		25/49
00155		26/49
00156		27/49
00157		29/49
00158		30/49
00159		31/49
00160		32/49
00161		33/49
00162		34/49
00163		36/49
00164		37/49
00165		38/49
00166		39/49
00167		40/49
00168		41/49
00169		43/49
00170		44/49
00171		45/49
00172		46/49
00173		47/49
00174		48/49
00175		1/54
00176		5/54
00177		7/54
00178		11/54
00179		13/54
00180		17/54
00181		19/54
00182		23/54
00183		25/54
00184		29/54
00185		31/54
00186		35/54
00187		37/54
00188		41/54
00189		43/54
00190		47/54
00191		49/54
00192		53/54
00193		1/72
00194		5/72
00195		7/72
00196		11/72
00197		13/72
00198		17/72
00199		19/72
00200		23/72
00201		25/72
00202		29/72
00203		31/72
00204		35/72
00205		37/72
00206		41/72
00207		43/72
00208		47/72
00209		49/72
00210		53/72
00211		55/72
00212		59/72
00213		61/72
00214		65/72
00215		67/72
00216		71/72
00217		1/81
00220		2/81
00223		4/81
00226		5/81
00229		7/81
00232		8/81
00235		10/81
00238		11/81
00241		13/81
00244		14/81
00247		16/81
00250		17/81
00253		19/81
00256		20/81
00259		22/81
00262		23/81
00265		25/81
00268		26/81
00271		28/81
00274		29/81
00277		31/81
00280		32/81
00283		34/81
00286		35/81
00289		37/81
00292		38/81
00295		40/81
00298		41/81
00301		43/81
00304		44/81
00307		46/81
00310		47/81
00313		49/81
00316		50/81
00319		52/81
00322		53/81
00325		55/81
00328		56/81
00331		58/81
00334		59/81
00337		61/81
00340		62/81
00343		64/81
00346		65/81
00349		67/81
00352		68/81
00355		70/81
00358		71/81
00361		73/81
00364		74/81
00367		76/81
00370		77/81
00373		79/81
00376		80/81
00379		1/96
00380		5/96
00381		7/96
00382		11/96
00383		13/96
00384		17/96
00385		19/96
00386		23/96
00387		25/96
00388		29/96
00389		31/96
00390		35/96
00391		37/96
00392		41/96
00393		43/96
00394		47/96
00395		49/96
00396		53/96
00397		55/96
00398		59/96
00399		61/96
00400		65/96
00401		67/96
00402		71/96
00403		73/96
00404		77/96
00405		79/96
00406		83/96
00407		85/96
00408		89/96
00409		91/96
00410		95/96
00411		1/108
00412		5/108
00413		7/108
00414		11/108
00415		13/108
00416		17/108
00417		19/108
00418		23/108
00419		25/108
00420		29/108
00421		31/108
00422		35/108
00423		37/108
00424		41/108
00425		43/108
00426		47/108
00427		49/108
00428		53/108
00429		55/108
00430		59/108
00431		61/108
00432		65/108
00433		67/108
00434		71/108
00435		73/108
00436		77/108
00437		79/108
00438		83/108
00439		85/108
00440		89/108
00441		91/108
00442		95/108
00443		97/108
00444		101/108
00445		103/108
00446		107/108
00447		1/144
00448		5/144
00449		7/144
00450		11/144
00451		13/144
00452		17/144
00453		19/144
00454		23/144
00455		25/144
00456		29/144
00457		31/144
00458		35/144
00459		37/144
00460		41/144
00461		43/144
00462		47/144
00463		49/144
00464		53/144
00465		55/144
00466		59/144
00467		61/144
00468		65/144
00469		67/144
00470		71/144
00471		73/144
00472		77/144
00473		79/144
00474		83/144
00475		85/144
00476		89/144
00477		91/144
00478		95/144
00479		97/144
00480		101/144
00481		103/144
00482		107/144
00483		109/144
00484		113/144
00485		115/144
00486		119/144
00487		121/144
00488		125/144
00489		127/144
00490		131/144
00491		133/144
00492		137/144
00493		139/144
00494		143/144
00495		1/162
00496		5/162
00497		7/162
00498		11/162
00499		13/162
00500		17/162
00501		19/162
00502		23/162
00503		25/162
00504		29/162
00505		31/162
00506		35/162
00507		37/162
00508		41/162
00509		43/162
00510		47/162
00511		49/162
00512		53/162
00513		55/162
00514		59/162
00515		61/162
00516		65/162
00517		67/162
00518		71/162
00519		73/162
00520		77/162
00521		79/162
00522		83/162
00523		85/162
00524		89/162
00525		91/162
00526		95/162
00527		97/162
00528		101/162
00529		103/162
00530		107/162
00531		109/162
00532		113/162
00533		115/162
00534		119/162
00535		121/162
00536		125/162
00537		127/162
00538		131/162
00539		133/162
00540		137/162
00541		139/162
00542		143/162
00543		145/162
00544		149/162
00545		151/162
00546		155/162
00547		157/162
00548		161/162
00549		1/192
00550		5/192
00551		7/192
00552		11/192
00553		13/192
00554		17/192
00555		19/192
00556		23/192
00557		25/192
00558		29/192
00559		31/192
00560		35/192
00561		37/192
00562		41/192
00563		43/192
00564		47/192
00565		49/192
00566		53/192
00567		55/192
00568		59/192
00569		61/192
00570		65/192
00571		67/192
00572		71/192
00573		73/192
00574		77/192
00575		79/192
00576		83/192
00577		85/192
00578		89/192
00579		91/192
00580		95/192
00581		97/192
00582		101/192
00583		103/192
00584		107/192
00585		109/192
00586		113/192
00587		115/192
00588		119/192
00589		121/192
00590		125/192
00591		127/192
00592		131/192
00593		133/192
00594		137/192
00595		139/192
00596		143/192
00597		145/192
00598		149/192
00599		151/192
00600		155/192
00601		157/192
00602		161/192
00603		163/192
00604		167/192
00605		169/192
00606		173/192
00607		175/192
00608		179/192
00609		181/192
00610		185/192
00611		187/192
00612		191/192
00613		1/216
00614		5/216
00615		7/216
00616		11/216
00617		13/216
00618		17/216
00619		19/216
00620		23/216
00621		25/216
00622		29/216
00623		31/216
00624		35/216
00625		37/216
00626		41/216
00627		43/216
00628		47/216
00629		49/216
00630		53/216
00631		55/216
00632		59/216
00633		61/216
00634		65/216
00635		67/216
00636		71/216
00637		73/216
00638		77/216
00639		79/216
00640		83/216
00641		85/216
00642		89/216
00643		91/216
00644		95/216
00645		97/216
00646		101/216
00647		103/216
00648		107/216
00649		109/216
00650		113/216
00651		115/216
00652		119/216
00653		121/216
00654		125/216
00655		127/216
00656		131/216
00657		133/216
00658		137/216
00659		139/216
00660		143/216
00661		145/216
00662		149/216
00663		151/216
00664		155/216
00665		157/216
00666		161/216
00667		163/216
00668		167/216
00669		169/216
00670		173/216
00671		175/216
00672		179/216
00673		181/216
00674		185/216
00675		187/216
