Quaternary | Octal
:-: | :-:
000 | 00
001 | 01
002 | 02
003 | 03
010 | 04
011 | 05
012 | 06
013 | 07
020 | 10
021 | 11
022 | 12
023 | 13
030 | 14
031 | 15
032 | 16
033 | 17
100 | 20
101 | 21
102 | 22
103 | 23
110 | 24
111 | 25
112 | 26
113 | 27
120 | 30
121 | 31
122 | 32
123 | 33
130 | 34
131 | 35
132 | 36
133 | 37
200 | 40
201 | 41
202 | 42
203 | 43
210 | 44
211 | 45
212 | 46
213 | 47
220 | 50
221 | 51
222 | 52
223 | 53
230 | 54
231 | 55
232 | 56
233 | 57
300 | 60
301 | 61
302 | 62
303 | 63
310 | 64
311 | 65
312 | 66
313 | 67
320 | 70
321 | 71
322 | 72
323 | 73
330 | 74
331 | 75
332 | 76
333 | 77
